F502,13,15,1,1,1,1,0
F502,17,19,1,1,1,1,0
F502,11,13,1,1,1,1,0
F502,15,17,1,1,1,1,0
F502,13,17,0,0,0,0,1
F502,21,23,1,1,0,1,1
F502,19,21,1,1,1,1,1
F502,9,11,1,1,1,1,1
F502,7,9,1,1,1,1,1
F506,17,19,1,1,1,1,0
F506,13,15,1,1,1,1,0
F506,15,17,0,1,0,1,0
F506,11,13,1,1,1,1,1
F506,19,21,1,1,1,1,1
F506,9,11,1,1,1,1,1
F506,21,23,1,1,1,1,1
F506,7,9,1,1,1,1,1
F515,7,9,1,0,1,0,0
F602,9,11,1,1,1,1,1
F602,13,15,1,1,1,1,0
F602,15,17,1,1,1,1,1
F602,11,13,1,1,1,1,1
F602,19,21,1,1,1,1,0
F602,7,9,1,1,1,1,1
F602,21,23,0,0,1,1,0
F602,17,19,0,0,1,1,0
F606,9,11,1,1,1,1,1
F606,15,17,1,1,1,1,0
F606,13,15,0,1,1,1,1
F606,19,21,1,1,0,1,1
F606,11,13,1,1,1,1,1
F606,21,23,0,1,1,0,1
F606,7,9,1,1,1,1,1
F606,17,19,0,1,1,0,0
F610,13,16,1,0,0,0,0
F610,13,17,0,0,1,0,0
F610,15,17,0,1,0,1,0
F610,17,19,1,0,1,1,1
F610,21,23,1,0,1,1,1
F610,11,13,0,1,1,1,1
F610,19,21,1,1,1,1,1
F610,9,11,1,1,1,1,1
F610,7,9,1,1,1,1,1
F610,13,15,0,1,0,1,0
K101,11,13,1,1,1,1,1
K101,7,9,1,1,1,1,1
K101,13,15,1,1,1,1,1
K101,15,17,1,1,1,1,1
K101,17,19,1,1,1,1,1
K101,9,11,1,1,1,1,1
K103,9,11,1,1,1,1,1
K103,11,13,1,1,1,1,1
K103,13,15,1,1,1,1,1
K103,15,17,1,1,1,1,1
K103,17,19,1,1,1,1,1
K103,7,9,1,1,1,1,1
K104,13,15,1,1,1,1,1
K104,15,17,1,1,1,1,1
K104,17,19,1,1,1,1,1
K104,7,9,1,1,1,1,1
K104,9,11,1,1,1,1,1
K104,11,13,1,1,1,1,1
K105,9,11,1,1,1,1,1
K105,11,13,1,1,1,1,1
K105,7,9,1,1,1,1,1
K105,13,15,1,1,1,1,1
K105,15,17,1,1,1,1,1
K105,17,19,1,1,1,1,0
K108,7,9,1,1,1,1,1
K108,13,15,1,1,1,1,1
K108,15,17,1,1,1,1,1
K108,17,19,1,1,1,1,1
K108,9,11,1,1,1,1,1
K108,11,13,1,1,1,1,1
K109,9,11,1,1,1,1,1
K109,11,13,1,1,1,1,1
K109,13,15,1,1,1,1,1
K109,7,9,1,1,1,1,1
K109,15,17,1,1,1,1,0
K109,17,19,1,1,1,1,0
K110,7,9,1,1,1,1,1
K110,9,11,1,1,1,1,1
K110,11,13,1,1,1,1,1
K110,13,15,1,1,1,1,1
K110,15,17,1,1,1,1,1
K110,17,19,1,1,1,1,1
K112,13,15,1,1,1,1,1
K112,15,17,1,1,1,1,1
K112,17,19,1,1,1,1,1
K112,7,9,1,1,1,1,1
K112,9,11,1,1,1,1,1
K112,11,13,1,1,1,1,1
K113,9,11,1,1,1,1,1
K113,11,13,1,1,1,1,1
K113,7,9,1,1,1,1,1
K113,13,15,0,1,1,1,1
K113,15,17,1,1,1,1,1
K113,17,19,1,1,1,1,1
K114,9,11,1,1,1,1,1
K114,11,13,1,1,1,1,1
K114,13,15,1,1,1,1,1
K114,15,17,1,1,1,1,1
K114,17,19,1,1,1,1,1
K114,7,9,1,1,1,1,1
K116,13,15,1,1,1,1,1
K116,15,17,1,1,0,1,1
K116,17,19,1,1,0,1,1
K116,7,9,1,1,1,1,1
K116,9,11,1,1,1,1,1
K116,11,13,1,1,1,1,1
K116,16,19,0,0,1,0,0
K117,9,11,1,1,1,1,1
K117,11,13,1,1,1,1,1
K117,13,15,1,1,1,1,1
K117,15,17,1,1,1,1,1
K117,17,19,1,1,1,1,1
K117,7,9,1,1,1,1,1
K118,9,11,1,1,1,1,1
K118,11,13,1,1,1,1,1
K118,7,9,1,1,1,1,1
K118,13,15,1,1,1,1,1
K118,15,17,1,1,1,1,1
K118,17,19,1,1,1,1,1
K120,13,15,1,1,1,1,1
K120,15,17,1,1,1,1,1
