sala,inicio,fim,seg,ter,qua,qui,sex
DPTO,13,19,1,0,0,0,0
DPTO,8,12,0,0,0,0,1
DPTO,15,19,0,0,1,0,0
L224,11,15,1,0,0,0,0
DPTO,9,11,1,0,0,0,0
DPTO,9,11,0,0,1,0,0
L452,7,9,0,0,1,0,0
L570,9,11,0,0,0,0,1
DPTO,11,13,0,0,0,0,1
L224,15,17,1,0,0,0,0
DPTO,13,15,0,0,1,0,0
L582,8,12,0,0,1,0,0
DPTO,13,15,0,1,0,0,0
DPTO,9,11,1,0,0,0,0
DPTO,10,13,0,0,1,0,0
DPTO,14,18,1,0,0,0,0
DPTO,14,18,0,1,0,0,0
DPTO,14,17,0,0,1,0,0
DPTO,9,12,1,0,0,0,0
DPTO,13,16,0,0,0,1,0
F201A,13,16,0,0,1,0,0
L658,9,12,1,0,0,0,0
LAB,14,17,0,1,0,0,0
L222,16,19,0,0,1,0,0
LAB,7,10,0,0,0,1,0
I004,13,15,0,0,1,0,0
L452,17,19,0,0,1,0,0
LAB,7,9,1,0,0,0,0
LAB,7,9,0,0,0,0,1
L222,7,11,0,0,0,0,1
L658,7,10,0,0,1,0,0
L222,13,16,0,0,1,0,0
LAB,10,13,0,0,0,1,0
L222,11,13,0,0,1,0,0
LAB,11,13,0,1,0,0,0
L304,13,16,0,0,0,1,0
L304,16,19,0,0,1,0,0
L304,13,16,1,0,0,0,0
L304,13,16,0,0,0,0,1
L304,14,17,0,1,0,0,0
L234,17,18,0,1,0,0,0
L304,13,16,0,0,1,0,0
L304,16,19,0,0,0,1,0
L304,16,19,1,0,0,0,0
L308,14,17,0,0,1,0,0
L308,17,20,0,0,1,0,0
L308,16,19,0,0,0,0,1
L308,14,17,0,1,0,0,0
L308,19,22,0,0,0,1,0
L776,17,18,0,1,0,0,0
LAB,8,11,1,0,0,0,0
L308,13,16,0,0,0,1,0
L308,14,17,1,0,0,0,0
L308,14,16,0,0,0,0,1
K126,7,9,0,1,0,0,0
K126,7,9,0,0,0,1,0
K108,7,9,0,1,0,0,0
K108,7,9,0,0,0,1,0
K113,9,11,0,1,0,0,0
K113,9,11,0,0,0,1,0
K109,9,11,0,1,0,0,0
K109,9,11,0,0,0,1,0
K105,9,11,0,1,0,0,0
K105,9,11,0,0,0,1,0
K113,11,13,0,1,0,0,0
K113,11,13,0,0,0,1,0
K109,11,13,0,1,0,0,0
K109,11,13,0,0,0,1,0
K105,11,13,0,1,0,0,0
K105,11,13,0,0,0,1,0
K109,9,11,1,0,0,0,0
K122,9,11,0,0,0,0,1
K514,7,9,0,0,0,0,1
K514,9,11,0,0,0,0,1
K514,11,13,0,0,0,0,1
K118,9,11,1,0,0,0,0
K118,11,13,1,0,0,0,0
K123,7,9,0,0,0,0,1
K124,7,9,0,0,0,0,1
K124,9,11,0,0,0,0,1
K114,9,11,1,0,0,0,0
K114,11,13,1,0,0,0,0
K103,9,11,0,0,0,0,1
K103,11,13,0,0,0,0,1
K123,9,11,1,0,0,0,0
K123,11,13,1,0,0,0,0
K110,7,9,0,0,0,0,1
K101,11,13,1,0,0,0,0
K109,11,13,1,0,0,0,0
K122,11,13,0,0,0,0,1
K118,7,9,1,0,0,0,0
K126,7,9,0,0,0,0,1
RDC,7,9,0,0,0,0,1
RDC,9,11,0,0,0,0,1
RDC,11,13,0,0,0,0,1
K610,7,9,1,0,0,0,0
K617,7,9,0,0,1,0,0
K610,9,11,1,0,0,0,0
K617,9,11,0,0,1,0,0
K128,11,13,1,0,0,0,0
K611,11,13,0,0,0,0,1
K117,9,11,1,0,0,0,0
K113,9,11,0,0,1,0,0
K117,11,13,1,0,0,0,0
K113,11,13,0,0,1,0,0
K618,9,11,0,1,0,0,0
K618,9,11,0,0,0,1,0
K618,11,13,0,1,0,0,0
K618,11,13,0,0,0,1,0
K124,13,17,0,0,1,0,0
K610,11,13,0,1,0,0,0
K615,11,13,0,0,0,1,0
K611,11,13,0,1,0,0,0
K611,11,13,0,0,0,1,0
K123,11,13,0,1,0,0,0
K123,11,13,0,0,0,1,0
K110,9,11,0,1,0,0,0
K110,9,11,0,0,0,1,0
K110,11,13,0,1,0,0,0
K110,11,13,0,0,0,1,0
K613,13,17,0,0,1,0,0
K512,13,17,0,0,0,0,1
K618,13,17,0,0,0,0,1
K618,11,13,1,0,0,0,0
K618,11,13,0,0,1,0,0
K117,9,11,0,1,0,0,0
K117,9,11,0,0,0,1,0
RDC,11,13,1,0,0,0,0
RDC,11,13,0,0,1,0,0
LAC,7,11,0,1,0,0,0
K108,13,15,0,0,1,0,0
K108,13,15,0,0,0,0,1
K110,13,15,0,0,1,0,0
K110,13,15,0,0,0,0,1
K112,13,15,0,0,1,0,0
K112,13,15,0,0,0,0,1
K108,15,17,0,0,1,0,0
K108,15,17,0,0,0,0,1
K110,15,17,0,0,1,0,0
K110,15,17,0,0,0,0,1
K112,15,17,0,0,1,0,0
K112,15,17,0,0,0,0,1
K108,17,19,0,0,1,0,0
K108,17,19,0,0,0,0,1
K110,17,19,0,0,1,0,0
K110,17,19,0,0,0,0,1
K112,17,19,0,0,1,0,0
K112,17,19,0,0,0,0,1
K116,13,15,0,0,1,0,0
K109,13,15,0,0,0,0,1
K108,13,15,1,0,0,0,0
K104,13,15,0,0,0,0,1
K110,13,15,1,0,0,0,0
K116,13,15,0,0,0,0,1
K112,13,15,1,0,0,0,0
K118,13,15,0,0,0,0,1
K108,15,17,1,0,0,0,0
K104,15,17,0,0,0,0,1
K110,15,17,1,0,0,0,0
K116,15,17,0,0,0,0,1
K112,15,17,1,0,0,0,0
K118,15,17,0,0,0,0,1
K108,17,19,1,0,0,0,0
K104,17,19,0,0,0,0,1
K110,17,19,1,0,0,0,0
K116,17,19,0,0,0,0,1
K112,17,19,1,0,0,0,0
K118,17,19,0,0,0,0,1
K120,13,15,1,0,0,0,0
K120,13,15,0,0,1,0,0
K118,13,15,1,0,0,0,0
K118,13,15,0,0,1,0,0
K117,13,15,1,0,0,0,0
K114,13,15,0,0,1,0,0
K120,15,17,1,0,0,0,0
K120,15,17,0,0,1,0,0
K118,15,17,1,0,0,0,0
K118,15,17,0,0,1,0,0
K117,15,17,1,0,0,0,0
K114,15,17,0,0,1,0,0
K118,17,19,1,0,0,0,0
K118,17,19,0,0,1,0,0
K117,17,19,1,0,0,0,0
K114,17,19,0,0,1,0,0
K103,9,11,1,0,0,0,0
K103,11,13,1,0,0,0,0
K126,7,9,0,0,1,0,0
K117,7,9,0,0,0,0,1
K101,7,9,0,0,1,0,0
K101,7,9,0,0,0,0,1
K114,7,9,0,0,1,0,0
K109,7,9,0,0,0,0,1
K117,9,11,0,0,1,0,0
K117,9,11,0,0,0,0,1
K109,9,11,0,0,1,0,0
K109,9,11,0,0,0,0,1
K117,11,13,0,0,1,0,0
K117,11,13,0,0,0,0,1
K109,11,13,0,0,1,0,0
K109,11,13,0,0,0,0,1
K101,11,13,0,0,1,0,0
K101,11,13,0,0,0,0,1
K126,11,13,0,1,0,0,0
K126,11,13,0,0,0,1,0
K110,9,11,1,0,0,0,0
K110,11,13,1,0,0,0,0
K611,7,9,0,1,0,0,0
K611,7,9,0,0,0,1,0
K611,9,11,0,1,0,0,0
K611,9,11,0,0,0,1,0
K613,9,11,0,1,0,0,0
K613,9,11,0,0,0,1,0
K613,11,13,0,1,0,0,0
K613,11,13,0,0,0,1,0
K103,11,13,0,1,0,0,0
K103,11,13,0,0,0,1,0
K103,9,11,0,0,1,0,0
K120,9,11,0,0,0,0,1
K126,9,11,0,0,1,0,0
K613,9,11,0,0,0,0,1
K103,11,13,0,0,1,0,0
K120,11,13,0,0,0,0,1
K126,11,13,0,0,1,0,0
K613,11,13,0,0,0,0,1
K114,7,9,1,0,0,0,0
K113,7,9,0,0,0,0,1
K101,7,9,1,0,0,0,0
